include,v,do,id,group,item,description,related,see also,source,petruzzello,hill,dalby,vanwyk,anderson,katzer,ucla,polyu,freq,taxon_name,taxon_authors,subspecies,species_syn,species_alt,category,tag,wikipedia,britannica,plant name,common name,wyk name,dalby name,hill name,anderson name,katzer name,amar name,hu name,wiki_name,other name,etymologies,kingdom,part,region_of_origin,origin dalby,lat,lon,location,macroarea,cultivation,color,taste_smell,heat,major_uses,ill_source,ill_page,ill_key,ill_link,other_links,wn_plant,wn,wn_comment,English,en_alt,Arabic,ar,ar_literal,ar_alt,Chinese,zh,zh_literal,zh_alt,zh_notes,Hu zh,Hungarian,hu_literal,hu_alt,hu_notes,Cantonese,yu,yu literal,notes,operative,pharmaceutical,tcm,tcm db,tcm link,tcm name,tcm pinyin,tcm en,tcm desc,medicinal group,nature and flavors,meridian affinity,action,hu_history_1990,foc,year recorded in TCM,ayurveda,gbif,trop,eol,ncbi,Hindi,hi,hi literal,Hi alt ,Indonesian,Persian
out,18.0,,,,Glabrous Greenbrier Rhizome,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土茯苓,tǔfúlíng,,,,,,,,,,,,,,Smilacis Glabrae Rhizoma,1.0,polyu-tcm,,土茯苓,tǔfúlíng,Glabrous Greenbrier Rhizome,Dried rhizome of Smilax glabra Roxb. (Fam. Liliaceae),Heat-clearing and detoxicating medicinal,"sweet, bland; neutral","Liver, Stomach",,,,,,,,,,,,,,,
out,18.0,,,,Glabrous Sarcandra Herb,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,腫節風,zhǒngjiéfēng,,,,,,,,,,,,,,Sarcandrae Herba,1.0,polyu-tcm,,腫節風,zhǒngjiéfēng,Glabrous Sarcandra Herb,Dried herb of Sarcandra glabra (Thunb.) Nakai (Fam. Chloranthaceae),Heat-clearing and blood-cooling medicinal,"bitter, pungent; neutral","Heart, Liver",,,,,,,,,,,,,,,
out,18.0,,,,Glossy Ganoderma,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,靈芝,língzhī,,,,,,,,,,,,,,Ganoderma,1.0,polyu-tcm,,靈芝,língzhī,Glossy Ganoderma,"Dried sporophore of Ganoderma lucidum (Leyss. ex Fr.) Karst. or Ganoderma sinense Zhao, Xu et Zhang (Fam. Polyporaceae)",Qi-tonifying medicinal,sweet;,"Liver, Heart, Lung, Kidney",,,,,,,,,,,,,,,
out,18.0,,,,Glossy Privet Fruit,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,女貞子,nv̌zhēnzǐ,,,,,,,,,,,,,,Ligustri Lucidi Fructus,1.0,polyu-tcm,,女貞子,nv̌zhēnzǐ,Glossy Privet Fruit,Dried fruit of Ligustrum lucidum Ait. (Fam. Oleaceae),Yin-tonifying medicinal,"sweet, bitter; cool","Liver, Kidney",,,,,,,,,,,,,,,
out,18.0,,,,Glue of tortoise shell,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,龜甲膠,gūijiǎjiāo,,,,,,,,,,,,,,Carapax et Plastrum Testudinis Colla,1.0,polyu-tcm,,龜甲膠,gūijiǎjiāo,Glue of tortoise shell,Solid glue prepared from Carapace and plastron of Chinemys reevesii (Gray) (Fam. Emydidae),Yin-tonifying medicinal,"salty, sweet; cool","Liver, Kidney, Heart",,,,,,,,,,,,,,,
out,18.0,,,,Golden thread,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,黃連,huánglián,,,,,,,,,,,,,,Coptidis Rhizoma,1.0,polyu-tcm,,黃連,huánglián,Golden thread,"Dried rhizome of Coptis chinensis Franch., Coptis deltoidea C.Y. Cheng et Hsiao or Coptis teeta Wall. (Fam. Ranunculaceae)",Heat-clearing and dampness-drying medicinal,bitter; cold,"Liver, Heart, Spleen, Gallbladder, Stomach, Large intestine",,,,,,,,,,,,,,,
out,18.0,,,,Gordon Euryale Seed,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,芡實,qiànshí,,,,,,,,,,,,,,Euryales Semen,1.0,polyu-tcm,,芡實,qiànshí,Gordon Euryale Seed,Dried kernel of ripe seed of Euryale ferox Salisb. (Fam. Nymphaeaceae),Astringent medicinal,"sweet, astringent; neutral","Spleen, Kidney",,,,,,,,,,,,,,,
out,18.0,,,,Grassleaf Sweetflag Rhizome,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,石菖蒲,shíchāngpú,,,,,,,,,,,,,,Acori Tatarinowii Rhizoma,1.0,polyu-tcm,,石菖蒲,shíchāngpú,Grassleaf Sweetflag Rhizome,Dried rhizome of Acorus tatarinowii Schott (Fam. Araceae),Orifice-opening medicinal,"pungent, bitter; warm","Heart, Stomach",,,,,,,,,,,,,,,
out,18.0,,,,Great Burdock Achene,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,牛蒡子,níubàngzǐ,,,,,,,,,,,,,,Arctii Fructus,1.0,polyu-tcm,,牛蒡子,níubàngzǐ,Great Burdock Achene,Dried ripe fruit of Arctium lappa L. (Fam. Compositae),Wind-heat dispersing medicinal,"pungent, bitter; cold","Lung, Stomach",,,,,,,,,,,,,,,
out,18.0,,,,Green Tangerine Peel,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青皮,qīngpí,,,,,,,,,,,,,,Citri Reticulatae Viride Pericarpium,1.0,polyu-tcm,,青皮,qīngpí,Green Tangerine Peel,Dried pericarp of the young or immature fruits of Citrus reticulata Blanco or its cultivars (Fam. Rutaceae),Qi-regulating medicinal,"pungent, bitter; warm","Liver, Gallbladder, Stomach",,,,,,,,,,,,,,,
out,18.0,,,,Grosvenor Momordica Fruit,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,羅漢果,luóhànguǒ,,,,,,,,,,,,,,Momordicae Fructus,1.0,polyu-tcm,,羅漢果,luóhànguǒ,Grosvenor Momordica Fruit,Dried fruit of Momordica grosvenori Swingle (Fam. Cucurbitaceae),Cough-suppressing and panting-calming medicinal,sweet; cool,"Lung, Large intestine",,,,,,,,,,,,,,,
out,18.0,,,,Ground Beetle,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土鱉蟲,tǔbiēchóng,,,,,,,,,,,,,,Eupolyphaga Seu Steleophaga,1.0,polyu-tcm,,土鱉蟲,tǔbiēchóng,Ground Beetle,"Dried body of female, Eupolyphaga sinensis Walker or Steleophaga plancyi (Boleny) (Fam. Corydiidae)",Blood-activating trauma-curing medicinal,salty; cold; slightly toxic,Liver,,,,,,,,,,,,,,,
out,18.0,,,,Gypsum,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,石膏,shígāo,,,,,,,,,,,,,,Fibrosum Gypsum,1.0,polyu-tcm,,石膏,shígāo,Gypsum,"Plaster Mineral of sulfates of plaster Mineral group, containing mainly hydrate calcium sulfate (CaSO4‧2H2O)",Heat-clearing and fire-purging medicinal,"sweet, pungent; strongly cold","Lung, Stomach",,,,,,,,,,,,,,,
out,18.0,,,,Hairyvein Agrimonia Herb,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,仙鶴草,xiānhècǎo,,,,,,,,,,,,,,Agrimoniae Herba,1.0,polyu-tcm,,仙鶴草,xiānhècǎo,Hairyvein Agrimonia Herb,Dried aerial part of Agrimonia pilosa Ledeb. (Fam. Rosaceae),Astringent hemostatic medicinal,"bitter, astringent; neutral","Heart, Liver",,,,,,,,,,,,,,,
out,18.0,,,,Hawthorn Fruit,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山楂,shānzhā,,,,,,,,,,,,,,Crataegi Fructus,1.0,polyu-tcm,,山楂,shānzhā,Hawthorn Fruit,Dried ripe fruit of Crataegus pinnatifida Bge. var. major N. E. Br. or Crataegus pinnatifida Bge. (Fam. Rosaceae),Digestant medicinal,"sweet, sour; slightly warm","Liver, Spleen, Stomach",,,,,,,,,,,,,,,
out,18.0,,,,Heartleaf Houttuynia Herb,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,魚腥草,yúxīngcǎo,,,,,,,,,,,,,,Houttuyniae Herba,1.0,polyu-tcm,,魚腥草,yúxīngcǎo,Heartleaf Houttuynia Herb,Fresh or dried aerial part of Houttuynia cordata Thumb. (Fam. Saururaceae),Heat-clearing and detoxicating medicinal,pungent; slightly cold,Lung,,,,,,,,,,,,,,,
out,18.0,,,,Hematite,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,赭石,zhěshí,,,,,,,,,,,,,,Haematitum,1.0,polyu-tcm,,赭石,zhěshí,Hematite,"Mineral of oxides of corundum group, containing mainly ferric oxide (Fe2O3)",Liver-pacifying and wind-extinguishing medicinal,bitter; cold,"Liver, Heart",,,,,,,,,,,,,,,
out,18.0,,,,Hemp seed,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,火麻仁,huǒmárén,,,,,,,,,,,,,,Cannabis Fructus,1.0,polyu-tcm,,火麻仁,huǒmárén,Hemp seed,Dried ripe fruit of Cannabis sativa L. (Fam. Moraceae),Laxative medicinal,sweet; neutral,"Spleen, Stomach, Large intestine",,,,,,,,,,,,,,,
out,18.0,,,,Heterophylly Falsestarwort Root,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,太子參,tàizǐcān,,,,,,,,,,,,,,Pseudostellariae Radix,1.0,polyu-tcm,,太子參,tàizǐcān,Heterophylly Falsestarwort Root,Dried root tuber of Pseudostellaria heterophylla (Miq.) Pax ex Pax et Hoffm. (Fam. Caryophyllaceae),Qi-tonifying medicinal,"sweet, slightly bitter; neutral","Spleen, Lung",,,,,,,,,,,,,,,
out,18.0,,,,Himalayan Teasel Root,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,續斷,xùduàn,,,,,,,,,,,,,,Dipsaci Radix,1.0,polyu-tcm,,續斷,xùduàn,Himalayan Teasel Root,Dried root of Dispsacus asperoides C.Y. Cheng et T. M. Ai (Fam. Dispsacaceae),Yang-tonifying medicinal,"pungent, bitter; slightly warm","Liver, Kidney",,,,,,,,,,,,,,,
out,18.0,,,,Hirsute Shiny Bugleweed Herb,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,澤蘭,zélán,,,,,,,,,,,,,,Lycopi Herba,1.0,polyu-tcm,,澤蘭,zélán,Hirsute Shiny Bugleweed Herb,Dried aerial part of Lyscopus lucidus Turcz. var. hirtus Regel (Fam. Labiatae),Blood-activating menstruation regulating medicinal,"bitter, pungent; slightly warm","Liver, Spleen",,,,,,,,,,,,,,,
out,18.0,,,,Hogfennel Root,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前胡,qiánhú,,,,,,,,,,,,,,Peucedani Radix,1.0,polyu-tcm,,前胡,qiánhú,Hogfennel Root,Dried root of Peucedanum praeruptorum Dunn (Fam. Apiaceae),Phlegm resolving medicinal,"pungent, bitter; slightly cold",Lung,,,,,,,,,,,,,,,
out,18.0,,,,Honey,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,蜂蜜,fēngmì,,,,,,,,,,,,,,Mel,1.0,polyu-tcm,,蜂蜜,fēngmì,Honey,Saccharine fluid deposited by Apis cerana Fabricius or Apis mellifera Linnaeus (Fam. Apidae),Qi-tonifying medicinal,sweet; neutral,"Lung, Stomach, Large intestine",,,,,,,,,,,,,,,
out,18.0,,,,Honeycomb,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,蜂房,fēngfáng,,,,,,,,,,,,,,Vespae Nidus,1.0,polyu-tcm,,蜂房,fēngfáng,Honeycomb,"Honeycomb of Polistes olivaceous (DeGeer), Polistes japonicus Saussure or Parapolybia varia Fabricius (Fam. Vespidae)",Dry dampness relieve itching and kill worms medicinal,sweet; neutral,Stomach,,,,,,,,,,,,,,,
out,18.0,,,,Honeysuckle Stem,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,忍冬藤,rěndōngténg,,,,,,,,,,,,,,Lonicerae Japonicae Caulis,1.0,polyu-tcm,,忍冬藤,rěndōngténg,Honeysuckle Stem,Dried stem and branch of Lonicera japonica Thunb (Fam. Caprifoliaceae),Heat-clearing and detoxicating medicinal,sweet; cold,"Lung, Stomach",,,,,,,,,,,,,,,
out,18.0,,,,Human Placenta,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,紫河車,zǐhéchē,,,,,,,,,,,,,,Hominis Placenta,1.0,polyu-tcm,,紫河車,zǐhéchē,Human Placenta,Dried placenta of a healthy women,Yang-tonifying medicinal,"sweet, salty; warm","Heart, Lung, Kidney",,,,,,,,,,,,,,,
out,18.0,,,,Hypoglaucous Collett Yam Rhizome,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,粉萆薢,fěnpìjiē,,,,,,,,,,,,,,Dioscoreae Hypolaucae Rhizoma,1.0,polyu-tcm,,粉萆薢,fěnpìjiē,Hypoglaucous Collett Yam Rhizome,Dried rhizome of Dioscorea hypoglauca Plakibin (Fam. Dioscoreaceae),Strangury-relieving diuretic medicinal,bitter; neutral,"Kidney, Stomach",,,,,,,,,,,,,,,
out,18.0,,,,Immature Orange Fruit,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,枳實,zhīshí,,,,,,,,,,,,,,Aurantii Immaturus Fructus,1.0,polyu-tcm,,枳實,zhīshí,Immature Orange Fruit,Dried young fruit of Citrus aurantium L. and its cultivated varieties (Fam. Rutaceae),Qi-regulating medicinal,"pungent, bitter, sour; warm","Spleen, Stomach",,,,,,,,,,,,,,,
out,18.0,,,,Incised Notopterygium Rhizome or Root,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,羌活,qiānghuó,,,,,,,,,,,,,,Notopterygii Rhizoma et Radix,1.0,polyu-tcm,,羌活,qiānghuó,Incised Notopterygium Rhizome or Root,Dried rhizome and root of Notopterygium incisum Ting ex H.T. Chang or Notopterygium forbesii Boiss (Fam. Apiaceae),Wind-cold-dispersing medicinal,"pungent, bitter; warm","Bladder, Kidney",,,,,,,,,,,,,,,
out,18.0,,,,Indian Bread,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,茯苓,fúlíng,,,,,,,,,,,,,,Poria,1.0,polyu-tcm,,茯苓,fúlíng,Indian Bread,"Dried sclerotium of the fungus, Poria cocos (Schw.) Wolf (Fam. Polyporaceae)",Dampness-draining diuretic medicinal,"sweet, bland; neutral","Heart, Spleen, Lung, Kidney",,,,,,,,,,,,,,,
out,18.0,,,,Indian Madder Root,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,茜草,qiàncǎo,,,,,,,,,,,,,,Rubiae Radix et Rhizoma,1.0,polyu-tcm,,茜草,qiàncǎo,Indian Madder Root,Dried root and rhizome of Rubia cordifolia L. (Fam. Rubiaceae),Stasis-resolving hemostatic medicinal,bitter; cold,Liver,,,,,,,,,,,,,,,
out,18.0,,,,Indian Trumpetflower Seed,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,木蝴蝶,mùhúdié,,,,,,,,,,,,,,Oroxyli Semen,1.0,polyu-tcm,,木蝴蝶,mùhúdié,Indian Trumpetflower Seed,Dried ripe fruit of Oroxylum indicum (L.) Vent. (Fam. Bignoniaceae),Heat-clearing and detoxicating medicinal,"bitter, sweet; cool","Lung, Liver, Stomach",,,,,,,,,,,,,,,
out,18.0,,,,Inula Flower,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,旋覆花,xuánfùhuā,,,,,,,,,,,,,,Inulae Flos,1.0,polyu-tcm,,旋覆花,xuánfùhuā,Inula Flower,Dried capitulum of Inula japonica Thunb. or Inula britannica L. (Fam. Compositae),Phlegm resolving medicinal,"bitter, pungent, salty; slightly warm","Lung, Spleen, Stomach, Large intestine",,,,,,,,,,,,,,,
out,18.0,,,,Irkutsk Anemone Rhizome,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,九節菖蒲,jǐujiéchāngpú,,,,,,,,,,,,,,Anemonis Altaicae Rhizoma,1.0,polyu-tcm,,九節菖蒲,jǐujiéchāngpú,Irkutsk Anemone Rhizome,Dried rhizome of Anemone altaica Fisch. ex C. A. Mey. (Fam. Ranunculaceae),Orifice-opening medicinal,pungent; warm,"Heart, Liver, Spleen",,,,,,,,,,,,,,,
out,18.0,,,,Isatis Root,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,板藍根,bǎnlángēn,,,,,,,,,,,,,,Isatidis Radix,1.0,polyu-tcm,,板藍根,bǎnlángēn,Isatis Root,Dried root of Isatis indigotica Fort. (Fam. Cruciferae),Heat-clearing and detoxicating medicinal,bitter; cold,"Heart, Stomach",,,,,,,,,,,,,,,
out,18.0,,,,Jackinthepulpit Tuber,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,天南星,tiānnánxīng,,,,,,,,,,,,,,Arisaematis Rhizoma,1.0,polyu-tcm,,天南星,tiānnánxīng,Jackinthepulpit Tuber,"Dried tuber of Arisaema serubescens (Wall.) Schott, Arisaema heterophyllum Bl. or Arisaema amurense Maxim. (Fam. Araceae)",Phlegm resolving medicinal,"bitter, pungent; warm; toxic","Lung, Liver, Spleen",,,,,,,,,,,,,,,
out,18.0,,,,Japanese Ampelopsis Root,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,白蘞,báiliàn,,,,,,,,,,,,,,Ampelopsis Radix,1.0,polyu-tcm,,白蘞,báiliàn,Japanese Ampelopsis Root,Dried root tuber of Ampelopsis japonica (Thunb.) Makino (Fam. Vitaceae),Heat-clearing and detoxicating medicinal,bitter; slightly cold,"Heart, Stomach",,,,,,,,,,,,,,,
out,18.0,,,,Japanese Ardisia Herb,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,矮地茶,ǎidìchá,,,,,,,,,,,,,,Ardisiae Japonicae Herba,1.0,polyu-tcm,,矮地茶,ǎidìchá,Japanese Ardisia Herb,Dried herb of Ardisia japonica (Thunb.) Blume (Fam. Myrsinaceae),Cough-suppressing and panting-calming medicinal,"pungent, slightly bitter; neutral","Lung, Liver",,,,,,,,,,,,,,,
out,18.0,,,,Japanese Climbing Fern Spore,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,海金沙,hǎijīnshā,,,,,,,,,,,,,,Lygodii Spora,1.0,polyu-tcm,,海金沙,hǎijīnshā,Japanese Climbing Fern Spore,Dried ripe spores of Lygodium japonicum (Thunb.) Sw. (Fam. Lygodiaceae),Strangury-relieving diuretic medicinal,"sweet, salty; cold","Bladder, Small intestine",,,,,,,,,,,,,,,
out,18.0,,,,Japanese Honeysuckle Flower,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金銀花,jīnyínhuā,,,,,,,,,,,,,,Lonicerae Japonicae Flos,1.0,polyu-tcm,,金銀花,jīnyínhuā,Japanese Honeysuckle Flower,Dried flower bud or opening flower of Lonicera japonica Thunb. (Fam. Caprifoliaceae),Heat-clearing and detoxicating medicinal,sweet; cold,"Lung, Heart, Stomach",,,,,,,,,,,,,,,
out,18.0,,,,Japanese Pagodatree Pod,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,槐角,huáijiǎo,,,,,,,,,,,,,,Sophorae Fructus,1.0,polyu-tcm,,槐角,huáijiǎo,Japanese Pagodatree Pod,Driedripe fruit of Sophora japonica L. (Fam. Fabaceae),Blood-cooling hemostatic medicinal,bitter; cold,"Liver, Large intestine",,,,,,,,,,,,,,,
out,18.0,,,,Japanese Raisin Tree Seed,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,枳椇子,zhījǔzǐ,,,,,,,,,,,,,,Hoveniae Dulcis Semen,1.0,polyu-tcm,,枳椇子,zhījǔzǐ,Japanese Raisin Tree Seed,"Dried ripe seed of Hovenia dulcis Thumb., Hovenia acerba Lindi. or Hovenia trichocarpa Chun et Tsiang (Fam. Rhamnaceae)",Yin-tonifying medicinal,sweet; neutral,"Heart, Spleen, Lung",,,,,,,,,,,,,,,
out,18.0,,,,Japanese Thistle Herb,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大薊,dàjì,,,,,,,,,,,,,,Cirsii Japonici Herba,1.0,polyu-tcm,,大薊,dàjì,Japanese Thistle Herb,Dried aerial part of Cirsium japonicum Fisch. ex DC. (Fam. Compositae),Blood-cooling hemostatic medicinal,"sweet, bitter; cool","Heart, Liver",,,,,,,,,,,,,,,
out,18.0,,,,Jave Brucea Fruit,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鴉膽子,yādǎnzǐ,,,,,,,,,,,,,,Bruceae Fructus,1.0,polyu-tcm,,鴉膽子,yādǎnzǐ,Jave Brucea Fruit,Dried ripe fruit of Brucea javanica (L.) Merr. (Fam. Simarubaceae),Heat-clearing and detoxicating medicinal,bitter; cold; slightly toxic,"Liver, Large intestine",,,,,,,,,,,,,,,
out,18.0,,,,Kadsura Pepper Stem,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,海風藤,hǎifēngténg,,,,,,,,,,,,,,Piperis Kadsurae Caulis,1.0,polyu-tcm,,海風藤,hǎifēngténg,Kadsura Pepper Stem,Dried stem of Piper kadsura (Choisy) Ohwi (Fam. Piperaceae),Wind-dampness-dispelling and cold-dispersing medicinal,"pungent, bitter; slightly warm",Liver,,,,,,,,,,,,,,,
out,17.0,,,,Katsumada Galangal Seed,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,草豆蔻,cǎodòukòu,,,,,,,,,,,,,,Alpiniae Katsumdai Semen,1.0,polyu-tcm,,草豆蔻,cǎodòukòu,,Dried almost ripe seed of Alpinia katsumadai Hayata (Fam. Zingiberaceae),Dampness-resolving medicinal,pungent; warm,"Spleen, Stomach",,,,,,,,,,,,,,,
out,18.0,,,,Kelp or Tangle,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,昆布,kūnbù,,,,,,,,,,,,,,Laminariae Thallus Eckloniae Thallus,1.0,polyu-tcm,,昆布,kūnbù,Kelp or Tangle,Dried thalline of Laminaria japonica Aresch. or Ecklonia kurome Okan. (Fam. Laminariaceae),Phlegm resolving medicinal,salty; cold,"Liver, Kidney, Stomach",,,,,,,,,,,,,,,
out,18.0,,,,Knoxia Root,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,紅大戟,hóngdàjǐ,,,,,,,,,,,,,,Knoxiae Radix,1.0,polyu-tcm,,紅大戟,hóngdàjǐ,Knoxia Root,Dried tuber root of Knoxia valerianoides Thorel et Pitard (Fam. Rubiaceae),Drastic (purgative) water-expelling medicinal,bitter; cold; slightly toxic,"Lung, Spleen, Kidney",,,,,,,,,,,,,,,
out,18.0,,,,Lalang Grass Rhizome,,,,polyu_chinese_2020,,,,,,,,1.0,1,,,,,,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,白茅根,báimáogēn,,,,,,,,,,,,,,Imperatae Rhizoma,1.0,polyu-tcm,,白茅根,báimáogēn,Lalang Grass Rhizome,Dried rhizome of Imperata cylindrica Beauv. Var. major (Nees) C.E. Hubb. (Fam. Gramineae),Blood-cooling hemostatic medicinal,sweet; cold,"Lung, Stomach, Bladder",,,,,,,,,,,,,,,
